date,open,high,low,close,volume,taker_buy_volume,pvsra_label,rsi,target,dxy
2023-01-01 13:00:00,16561.29,16567.26,16539.05,16548.04,4379.68203,2132.25783,bear100,55.87689551474876,hold,
2023-01-01 14:00:00,16547.61,16558.56,16540.85,16542.94,3294.99093,1660.99212,bear100,54.11115930355028,hold,
2023-01-01 15:00:00,16542.94,16559.99,16533.68,16558.73,3220.93236,1657.51542,bull100,52.33620800617776,hold,
2023-01-01 16:00:00,16558.73,16584.66,16558.0,16565.14,4962.13235,2514.82348,bull100,55.3466658255,hold,
2023-01-01 17:00:00,16565.13,16596.64,16562.51,16578.85,4714.40354,2395.66351,bull100,64.58267014706679,hold,
2023-01-01 18:00:00,16579.25,16603.89,16578.85,16591.88,4146.37245,2156.10882,bull100,72.03448492857572,hold,
2023-01-01 19:00:00,16591.35,16623.65,16591.34,16603.08,4709.74023,2370.80934,bull100,72.44031007751917,hold,
2023-01-01 20:00:00,16603.53,16628.0,16600.55,16604.51,4189.05318,2126.6117,bull100,71.06770833333223,hold,
2023-01-01 21:00:00,16604.51,16608.83,16592.63,16606.68,3656.77804,1858.75074,bull100,78.3076598438491,hold,
2023-01-01 22:00:00,16607.02,16613.85,16586.24,16602.12,3690.19661,1866.90555,bear100,83.15655811174027,hold,
2023-01-01 23:00:00,16602.39,16625.0,16600.8,16616.75,3846.61495,1905.95929,bull100,81.81011535048638,hold,
2023-01-02 00:00:00,16617.17,16629.05,16581.25,16588.35,4327.06948,2028.47026,bear200,64.09696286378563,hold,
2023-01-02 01:00:00,16587.97,16589.2,16548.7,16565.04,5791.85443,2816.37831,bear200,52.67049075844511,buy,
2023-01-02 02:00:00,16565.03,16595.92,16555.0,16587.85,3150.41571,1598.52947,bull100,57.672138622890415,buy,
2023-01-02 03:00:00,16587.99,16707.25,16581.8,16661.94,6194.13548,3277.32371,bull200,74.06609195402223,hold,
2023-01-02 04:00:00,16662.38,16674.84,16629.29,16639.44,4983.39445,2424.93966,bear100,68.99307195717203,buy,
2023-01-02 05:00:00,16639.74,16662.94,16619.44,16647.58,4976.78402,2278.73858,bull100,68.03035837493427,buy,
2023-01-02 06:00:00,16648.37,16663.27,16635.93,16641.1,3210.61774,1580.31619,bear100,65.41020855311149,hold,
2023-01-02 07:00:00,16641.1,16769.51,16637.44,16721.28,12856.08557,6607.54533,bull200,72.75748569967675,hold,
2023-01-02 08:00:00,16721.27,16772.01,16707.52,16733.71,7080.81126,3600.24531,bull100,72.70515160247105,hold,
2023-01-02 09:00:00,16733.71,16745.68,16710.54,16717.5,5599.20896,2706.63747,bear100,68.02798260540696,hold,
2023-01-02 10:00:00,16717.5,16762.86,16708.68,16727.95,5892.57705,3066.45273,bull100,68.91163132736845,hold,
2023-01-02 11:00:00,16727.72,16741.72,16704.07,16735.11,4695.34392,2394.24674,bull100,69.37980986871858,hold,
2023-01-02 12:00:00,16735.51,16746.29,16719.3,16721.54,4262.00363,2122.56634,bear100,67.54318956399112,hold,
2023-01-02 13:00:00,16721.96,16725.6,16685.0,16694.78,5598.29706,2582.79375,bear100,61.06839910352034,hold,
2023-01-02 14:00:00,16695.12,16710.41,16669.15,16698.69,5460.35075,2714.72753,bull100,66.82012195121935,hold,
