Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_long_entr…(C,12,26,9,14,14,3,3,40.0,60.0)","Exit_long_entr…(C,12,26,9,14,14,3,3,40.0,60.0)","Entry_short_ent…(C,12,26,9,14,14,3,3,40.0,60.0)","Exit_short_ent…(C,12,26,9,14,14,3,3,40.0,60.0)"
1.0612062,269,387,18837.06,21176.06,,,2460.9302162873255,21.231085512672003,0.12310803490565916,2023-01-12 18:00:00+00:00,2023-01-17 16:00:00+00:00,4 days 22:00:00,,0.0,0.0,0.0,0.0
-1.18375352,411,1294,21042.73,23860.81,,,-3362.4894814093327,26.5773617677304,-0.13498874765774224,2023-01-18 16:00:00+00:00,2023-02-24 11:00:00+00:00,36 days 19:00:00,,0.0,0.0,0.0,0.0
-0.62154907,2819,2977,29262.03,29259.199999999997,,,-16.427924172777985,18.186908040878052,-0.0009032392831255685,2023-04-29 01:00:00+00:00,2023-05-05 15:00:00+00:00,6 days 14:00:00,,0.0,0.0,0.0,0.0
-0.65946052,3052,3204,27530.0,27208.38,,,194.04679217302242,18.048900269378798,0.010688369415183483,2023-05-08 18:00:00+00:00,2023-05-15 02:00:00+00:00,6 days 08:00:00,,0.0,0.0,0.0,0.0
-0.7004241800000001,4039,4234,26473.739999999998,30267.99,,,-2677.456084818517,19.871639853515703,-0.14439292918189886,2023-06-18 21:00:00+00:00,2023-06-27 00:00:00+00:00,8 days 03:00:00,,0.0,0.0,0.0,0.0
0.43057901,4577,6671,30634.59,27252.99,,,-1468.5085686598475,12.4625884438479,-0.11132983304166952,2023-07-11 07:00:00+00:00,2023-10-06 13:00:00+00:00,87 days 06:00:00,,0.0,0.0,0.0,0.0
-0.36724667,6711,7684,27924.18,36500.0,,,-3161.271120305639,11.829782786240301,-0.30826445360257654,2023-10-08 05:00:00+00:00,2023-11-17 18:00:00+00:00,40 days 13:00:00,,0.0,0.0,0.0,0.0
-0.10773675,7725,8543,36530.52,43704.91,,,-777.267614064027,4.322152231526251,-0.19749260933049964,2023-11-19 11:00:00+00:00,2023-12-23 13:00:00+00:00,34 days 02:00:00,,0.0,0.0,0.0,0.0
0.05383509,8910,8924,44244.77,43720.45,,,-30.594622156584922,2.3678077677849,-0.01284451495623104,2024-01-07 20:00:00+00:00,2024-01-08 10:00:00+00:00,0 days 14:00:00,,0.0,0.0,0.0,0.0
0.05442466,9434,9557,42641.75,43070.35,,,20.99398332580696,2.3324259501930005,0.009046156642257958,2024-01-29 16:00:00+00:00,2024-02-03 19:00:00+00:00,5 days 03:00:00,,0.0,0.0,0.0,0.0
0.052414260000000004,9673,10525,45077.99,69035.39,,,1252.7188083396004,2.9905841843994,0.5301998449797785,2024-02-08 15:00:00+00:00,2024-03-15 03:00:00+00:00,35 days 12:00:00,,0.0,0.0,0.0,0.0
-0.07696005,11798,11809,63239.5,64024.47,,,-65.3084511956993,4.897120747199251,-0.013418859810719675,2024-05-07 04:00:00+00:00,2024-05-07 15:00:00+00:00,0 days 11:00:00,,0.0,0.0,0.0,0.0
0.06939571,12430,13182,68251.53,59671.11,,,-599.8829792121368,4.438641213937201,-0.12665476246466553,2024-06-02 12:00:00+00:00,2024-07-03 20:00:00+00:00,31 days 08:00:00,,0.0,0.0,0.0,0.0
-0.06040182,13188,13473,58561.1,64343.600000000006,,,-352.9853579332774,3.711833783277,-0.09979239375626499,2024-07-04 02:00:00+00:00,2024-07-15 23:00:00+00:00,11 days 21:00:00,,0.0,0.0,0.0,0.0
