Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_long_entry(O,H,L,C,V,50,200,160,14,1.1,14,55,50,1D,200)","Exit_long_entry(O,H,L,C,V,50,200,160,14,1.1,14,55,50,1D,200)","Entry_short_ent…(O,H,L,C,V,50,200,160,14,1.1,14,55,50,1D,200)","Exit_short_ent…(O,H,L,C,V,50,200,160,14,1.1,14,55,50,1D,200)","Entry_long_exha…(O,H,L,C,V,50,200,160,14,1.1,14,55,50,1D,200)","Exit_long_exha…(O,H,L,C,V,50,200,160,14,1.1,14,55,50,1D,200)","Entry_short_exh…(O,H,L,C,V,50,200,160,14,1.1,14,55,50,1D,200)","Exit_short_exh…(O,H,L,C,V,50,200,160,14,1.1,14,55,50,1D,200)","Entry_atr_values(O,H,L,C,V,50,200,160,14,1.1,14,55,50,1D,200)","Exit_atr_values(O,H,L,C,V,50,200,160,14,1.1,14,55,50,1D,200)"
1.16710669,179,200,17127.83,17221.29,17031.124285714286,,89.03324737359394,20.0445438738064,0.004453888204168361,2023-01-09 00:00:00+00:00,2023-01-09 21:00:00+00:00,0 days 21:00:00,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.460142857142913e-07,7.378071428571426e-07
1.1568389000000001,222,241,17433.7,17413.43,17317.944285714286,,-43.60538227167896,20.1562577686785,-0.002162109305540395,2023-01-10 19:00:00+00:00,2023-01-11 14:00:00+00:00,0 days 19:00:00,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.02121428571427e-07,4.6498571428571454e-07
1.11912859,251,266,17943.26,17997.63,17750.905714285713,,40.73578266377815,20.111238774522555,0.0020285920730124104,2023-01-12 00:00:00+00:00,2023-01-12 15:00:00+00:00,0 days 15:00:00,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.2234142857142917e-06,1.453607142857146e-06
1.07034994,269,308,18837.06,20688.29975,20688.29975,,1960.3213721196664,21.152983218445463,0.09722733112943288,2023-01-12 18:00:00+00:00,2023-01-14 09:00:00+00:00,1 days 15:00:00,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.1279071428571443e-06,3.379121428571431e-06
1.0803996,464,477,22288.91,22691.92765,22691.92765,,411.12146835058047,24.29863950236247,0.01707249170888134,2023-01-20 21:00:00+00:00,2023-01-21 10:00:00+00:00,0 days 13:00:00,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.927457142857141e-06,2.240057142857143e-06
1.05553452,585,585,23592.56,23175.83,23175.83,,-464.55572556451244,24.682825044911404,-0.018654787568623356,2023-01-25 22:00:00+00:00,2023-01-25 22:00:00+00:00,0 days 00:00:00,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.7383357142857104e-06,2.7383357142857104e-06
1.00324164,679,691,23896.65,23552.06,23552.06,,-369.50829754574363,23.801260818142204,-0.015412802840565521,2023-01-29 20:00:00+00:00,2023-01-30 08:00:00+00:00,0 days 12:00:00,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.8897999999999967e-06,1.4206214285714222e-06
0.9606160300000001,756,761,24188.09,23739.031428571427,23739.031428571427,,-454.39264268121065,23.019780558021107,-0.019555993554797497,2023-02-02 01:00:00+00:00,2023-02-02 06:00:00+00:00,0 days 05:00:00,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.3618928571428614e-06,2.3727214285714313e-06
-0.99145525,927,985,22519.56,21747.5,21859.35465,,743.5185357954676,21.9444045195325,0.03330111556353677,2023-02-09 04:00:00+00:00,2023-02-11 14:00:00+00:00,2 days 10:00:00,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.6717785714285746e-06,5.494857142857207e-07
1.0211512,1087,1104,23320.18,24361.433699999998,24361.433699999998,,1038.932396735592,24.345068523845722,0.043628003435222135,2023-02-15 20:00:00+00:00,2023-02-16 13:00:00+00:00,0 days 17:00:00,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5830500000000023e-06,1.7590071428571455e-06
1.03260866,1107,1107,25072.669999999995,24695.839999999993,24695.839999999993,,-414.81361855844995,25.695697210648298,-0.016021997457789754,2023-02-16 16:00:00+00:00,2023-02-16 16:00:00+00:00,0 days 00:00:00,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.24375714285715e-06,2.24375714285715e-06
-1.0733125700000001,1299,1331,23349.25,23157.07,23685.76,,181.3113007823787,24.9579089202212,0.0072347865563133305,2023-02-24 16:00:00+00:00,2023-02-26 00:00:00+00:00,1 days 08:00:00,,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.8796357142857124e-06,1.1938785714285711e-06
-1.1477710700000001,1453,1500,22150.31,22379.83,22591.685714285715,,-288.99161920392703,25.555203217524905,-0.01136711269503691,2023-03-03 02:00:00+00:00,2023-03-05 01:00:00+00:00,1 days 23:00:00,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.37866428571428e-06,8.792142857142901e-07
-1.15673132,1612,1617,21479.31,20418.4099,20418.4099,,1202.9441706386783,24.232202422458634,0.048416417475701246,2023-03-09 17:00:00+00:00,2023-03-09 22:00:00+00:00,0 days 05:00:00,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.1476214285714294e-06,2.480571428571427e-06
-1.3887171200000001,1630,1632,19622.77,20075.82571428571,20075.82571428571,,-656.73128649659,27.565059754193598,-0.024099809157568205,2023-03-10 11:00:00+00:00,2023-03-10 13:00:00+00:00,0 days 02:00:00,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.2200499999999945e-06,2.4474499999999934e-06
1.08156006,1707,1733,23981.72,25506.249949999998,25506.249949999998,,1622.1085983195928,26.7621058742001,0.06253871553103774,2023-03-13 16:00:00+00:00,2023-03-14 18:00:00+00:00,1 days 02:00:00,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.032999999999999e-06,4.673964285714288e-06
1.09266061,1798,1811,26705.7,27100.610350000003,27100.610350000003,,402.1069659818754,29.39601794444016,0.01378009918575437,2023-03-17 11:00:00+00:00,2023-03-18 00:00:00+00:00,0 days 13:00:00,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.2193714285714327e-06,4.231671428571431e-06
1.07397216,1852,1861,27918.86,27675.84,27433.885714285712,,-290.85029434497625,29.853580021776004,-0.009700157886102763,2023-03-19 17:00:00+00:00,2023-03-20 02:00:00+00:00,0 days 09:00:00,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5718500000000087e-06,3.8591999999999935e-06
1.02937508,1922,1925,28563.61,28237.440000000002,28237.440000000002,,-364.98606253751456,29.234792693917004,-0.012413365292412156,2023-03-22 15:00:00+00:00,2023-03-22 18:00:00+00:00,0 days 03:00:00,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.7487999999999935e-06,2.5903142857142754e-06
0.9899291800000001,2101,2101,28964.760000000002,28477.04285714286,28477.04285714286,,-511.23708970055793,28.431658400046544,-0.0178298747956383,2023-03-30 03:00:00+00:00,2023-03-30 03:00:00+00:00,0 days 00:00:00,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.971692857142853e-06,2.971692857142853e-06
0.95227609,2379,2413,29036.85,29916.159999999996,29809.793750000004,,809.2761177696322,28.06977092826545,0.029267413476324045,2023-04-10 17:00:00+00:00,2023-04-12 03:00:00+00:00,1 days 10:00:00,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.7641928571428644e-06,1.9869142857142864e-06
0.95196474,2459,2471,30745.72,30616.98,30371.924285714285,,-151.76350400320067,29.207563375599,-0.005185155852586965,2023-04-14 01:00:00+00:00,2023-04-14 13:00:00+00:00,0 days 12:00:00,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.9602428571428583e-06,1.937842857142871e-06
-1.00584663,2602,2666,28797.1,27619.591299999993,27619.591299999993,,1156.0198882807567,28.37326940992766,0.03991028104739728,2023-04-20 00:00:00+00:00,2023-04-22 16:00:00+00:00,2 days 16:00:00,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.289892857142866e-06,1.2205857142857276e-06
-1.15365932,2715,2716,27110.560000000005,27560.90285714286,27560.90285714286,,-551.0783556698724,31.536121331588348,-0.017619650371347,2023-04-24 17:00:00+00:00,2023-04-24 18:00:00+00:00,0 days 01:00:00,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.5030857142857197e-06,2.635885714285721e-06
-1.09825146,3053,3071,27475.26,27758.35,27946.140000000003,,-341.2342022231831,30.330196411785302,-0.011308602903120718,2023-05-08 19:00:00+00:00,2023-05-09 13:00:00+00:00,0 days 18:00:00,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.3701214285714315e-06,1.4266071428571428e-06
-1.10680186,3133,3152,26646.7,26750.100000000002,27149.8,,-143.99315110302592,29.549838779024,-0.0048823456563102715,2023-05-12 03:00:00+00:00,2023-05-12 22:00:00+00:00,0 days 19:00:00,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.361921428571427e-06,2.1204142857142894e-06
-1.11235394,3433,3455,26254.93,26403.519999999997,26577.06142857143,,-194.57208911049636,29.2874171658965,-0.0066623382732309425,2023-05-24 15:00:00+00:00,2023-05-25 13:00:00+00:00,0 days 22:00:00,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.7843642857142831e-06,1.4412571428571474e-06
1.04443913,3533,3553,27589.76,27787.77,27348.315714285713,,177.89016250392962,28.919229627374452,0.00617334964131627,2023-05-28 19:00:00+00:00,2023-05-29 15:00:00+00:00,0 days 20:00:00,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.2717428571428559e-06,1.3849071428571414e-06
-1.12165313,3722,3745,26007.530000000002,26024.72,26331.02142857143,,-48.46228534142325,29.181068036721253,-0.0016612929024787527,2023-06-05 16:00:00+00:00,2023-06-06 15:00:00+00:00,0 days 23:00:00,,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.891357142857142e-06,1.622114285714288e-06
-1.16605063,3943,3964,24934.21,25280.98,25280.98,,-433.6281039326373,29.27672696753485,-0.014914352409801773,2023-06-14 21:00:00+00:00,2023-06-15 18:00:00+00:00,0 days 21:00:00,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.9567999999999967e-06,1.4640928571428734e-06
1.03021044,4083,4121,27380.550000000003,30015.02835,30015.02835,,2684.502338110969,29.56476201300399,0.0951690364446659,2023-06-20 17:00:00+00:00,2023-06-22 07:00:00+00:00,1 days 14:00:00,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.036885714285722e-06,2.4843214285714363e-06
1.07478198,4154,4154,31238.01,30763.504285714287,30763.504285714287,,-543.3092462648124,33.31905514349914,-0.0161824159550679,2023-06-23 16:00:00+00:00,2023-06-23 16:00:00+00:00,0 days 00:00:00,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.787021428571427e-06,2.787021428571427e-06
1.03944854,4637,4650,31255.010000000002,31098.75,30836.25714285714,,-194.83099125815778,32.4067623977552,-0.005997018717959219,2023-07-13 19:00:00+00:00,2023-07-14 08:00:00+00:00,0 days 13:00:00,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.440935714285711e-06,2.195414285714274e-06
-1.0770451,4733,4735,29802.38,30101.724285714285,30101.724285714285,,-354.6670071369791,32.259710995408795,-0.011049330216484049,2023-07-17 19:00:00+00:00,2023-07-17 21:00:00+00:00,0 days 02:00:00,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.5830357142857107e-06,1.853742857142854e-06
-1.07579436,4892,4920,29178.0,29277.67,29496.247142857144,,-138.66756390920878,31.443140048010598,-0.004417637775035901,2023-07-24 10:00:00+00:00,2023-07-25 14:00:00+00:00,1 days 04:00:00,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.7458785714285753e-06,8.523642857142917e-07
-1.0753152,5077,5092,28933.22,29206.491428571433,29206.491428571433,,-325.112178579953,31.25925771137829,-0.010449624489971018,2023-08-01 03:00:00+00:00,2023-08-01 18:00:00+00:00,0 days 15:00:00,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.3501714285714386e-06,1.2366785714285663e-06
-1.06028163,5458,5480,28730.51,26647.728799999993,26647.728799999993,,2178.976381018667,29.35826465069662,0.07152995476237657,2023-08-17 00:00:00+00:00,2023-08-17 22:00:00+00:00,0 days 22:00:00,,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.4883071428571494e-06,4.490842857142849e-06
-1.36655331,5836,5836,25478.85,25790.35285714286,25790.35285714286,,-460.7163099357815,35.03104943274502,-0.013232051626012653,2023-09-01 18:00:00+00:00,2023-09-01 18:00:00+00:00,0 days 00:00:00,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.788500000000002e-06,1.788500000000002e-06
-1.34792263,6073,6085,25147.76,25428.210000000003,25428.210000000003,,-412.1111488321047,34.08624724860055,-0.0121576627500821,2023-09-11 15:00:00+00:00,2023-09-12 03:00:00+00:00,0 days 12:00:00,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.518492857142861e-06,2.1370785714285814e-06
1.21911158,6237,6243,27129.120000000003,26860.431428571435,26860.431428571435,,-360.4709925150114,32.90964367278849,-0.010899113098502696,2023-09-18 11:00:00+00:00,2023-09-18 17:00:00+00:00,0 days 06:00:00,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.373014285714279e-06,1.8595285714285704e-06
-1.23256484,6394,6411,26248.390000000003,26324.77,26461.945714285717,,-126.54321675104484,32.3999142718472,-0.003911347705516236,2023-09-25 00:00:00+00:00,2023-09-25 17:00:00+00:00,0 days 17:00:00,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.2343142857142953e-06,1.1071714285714265e-06
1.14657057,6561,6578,27996.43,28026.3,27714.098571428567,,2.131056191371684,32.11700673452805,6.63882859350427e-05,2023-10-01 23:00:00+00:00,2023-10-02 16:00:00+00:00,0 days 17:00:00,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.45973571428572e-06,2.2500214285714362e-06
-1.18374048,6781,6827,27120.93,26829.56,27390.914285714287,,312.97477419317903,31.9316894644176,0.009748734833208084,2023-10-11 03:00:00+00:00,2023-10-13 01:00:00+00:00,1 days 22:00:00,,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.3569000000000083e-06,1.11736428571429e-06
1.16892111,6912,6935,27999.989999999998,28218.92,27368.91571428572,,223.0541632722029,32.85773534009505,0.00681502189822215,2023-10-16 14:00:00+00:00,2023-10-17 13:00:00+00:00,0 days 23:00:00,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.4627285714285698e-06,1.7900571428571493e-06
1.07935095,7070,7089,30736.68,32816.1812,32816.1812,,2210.213675190421,34.297920555719074,0.06662153392624058,2023-10-23 04:00:00+00:00,2023-10-23 23:00:00+00:00,0 days 19:00:00,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.083121428571443e-06,5.749064285714304e-06
1.06179173,7303,7319,35406.08,34769.24857142858,34769.24857142858,,-713.4381360248113,37.25579176358779,-0.01897750592150098,2023-11-01 21:00:00+00:00,2023-11-02 13:00:00+00:00,0 days 16:00:00,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.4620999999999893e-06,2.5498142857142806e-06
0.9946176600000001,7477,7489,36363.44,37286.90905,37286.90905,,881.8716566782764,36.62696891514712,0.024382838242888945,2023-11-09 03:00:00+00:00,2023-11-09 15:00:00+00:00,0 days 12:00:00,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.497299999999989e-06,3.915728571428574e-06
0.99239901,7850,7850,38221.1,37744.99571428571,37744.99571428571,,-510.1797608898245,37.69433909021119,-0.013450354217210587,2023-11-24 16:00:00+00:00,2023-11-24 16:00:00+00:00,0 days 00:00:00,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8710571428571403e-06,2.8710571428571403e-06
0.95363632,8012,8014,38705.25,38369.99428571428,38369.99428571428,,-356.46290179226673,36.750876161864795,-0.009657432426571987,2023-12-01 10:00:00+00:00,2023-12-01 12:00:00+00:00,0 days 02:00:00,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.839414285714291e-06,2.0415142857142918e-06
0.9182692,8046,8089,39419.99,41348.5073,41348.5073,,1733.8144265567212,37.08361170043658,0.047897857187431905,2023-12-02 20:00:00+00:00,2023-12-04 15:00:00+00:00,1 days 19:00:00,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.6254357142857145e-06,3.8550928571428635e-06
0.92857077,8115,8124,42715.17,43621.119,43621.119,,801.153083332894,40.08467717783626,0.020198464749174586,2023-12-05 17:00:00+00:00,2023-12-06 02:00:00+00:00,0 days 09:00:00,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.4282428571428593e-06,5.3002285714285615e-06
0.92674666,8192,8202,44527.34,43954.935714285704,43954.935714285704,,-571.4740866991092,41.000326743706694,-0.013848692142208185,2023-12-08 22:00:00+00:00,2023-12-09 08:00:00+00:00,0 days 10:00:00,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.9894142857142997e-06,2.317128571428571e-06
0.91669409,8472,8484,43769.44,43459.04,43178.7842857143,,-324.5227615838444,39.9809160478416,-0.008088160140956835,2023-12-20 14:00:00+00:00,2023-12-21 02:00:00+00:00,0 days 12:00:00,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.23124285714284e-06,4.2946214285714336e-06
-0.93964451,8620,8634,42010.0,42695.33285714286,42695.33285714286,,-683.7657072303667,39.79645049346845,-0.017321721579895987,2023-12-26 18:00:00+00:00,2023-12-27 08:00:00+00:00,0 days 14:00:00,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.5993e-06,2.0501857142856957e-06
0.8625623800000001,8770,8784,44179.55,45072.910500000005,45072.910500000005,,732.0862517031219,38.492907374868,0.01921102115684743,2024-01-02 00:00:00+00:00,2024-01-02 14:00:00+00:00,0 days 14:00:00,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.3200714285714337e-06,4.1994500000000035e-06
0.8424748,8933,8950,46970.02,45878.84285714286,45878.84285714286,,-958.4006587760414,39.11141358289943,-0.0242197379154983,2024-01-08 19:00:00+00:00,2024-01-09 12:00:00+00:00,0 days 17:00:00,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.83725e-06,4.160664285714294e-06
0.77525792,9001,9001,48571.21,47607.70142857143,47607.70142857143,,-784.2493823988725,37.28173141098926,-0.02082711192788592,2024-01-11 15:00:00+00:00,2024-01-11 15:00:00+00:00,0 days 00:00:00,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.184107142857148e-06,6.184107142857148e-06
-0.87970381,9174,9196,41022.33,41741.37285714285,41741.37285714285,,-668.9485133484213,36.403772366568234,-0.018536848310942544,2024-01-18 20:00:00+00:00,2024-01-19 18:00:00+00:00,0 days 22:00:00,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.965549999999993e-06,3.994528571428561e-06
-0.87267708,9270,9289,39820.31,39349.25609999999,39349.25609999999,,376.5332090901106,34.544732884507496,0.010835403264063157,2024-01-22 20:00:00+00:00,2024-01-23 15:00:00+00:00,0 days 19:00:00,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.6609857142857165e-06,3.263285714285712e-06
0.83105542,9399,9400,42720.33,42383.51285714286,42383.51285714286,,-315.276717054972,35.363004934628435,-0.008880293393934861,2024-01-28 05:00:00+00:00,2024-01-28 06:00:00+00:00,0 days 01:00:00,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.8468928571428454e-06,1.9751999999999866e-06
0.80723878,9435,9465,43200.01,43327.78,42586.219999999994,,68.21660510274887,34.924293817848096,0.00195615938514831,2024-01-29 17:00:00+00:00,2024-01-30 23:00:00+00:00,1 days 06:00:00,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.156214285714301e-06,3.193157142857141e-06
0.79329258,9655,9696,44131.37,46753.9706,46753.9706,,2044.4402631191667,36.04933316437638,0.058397415029263586,2024-02-07 21:00:00+00:00,2024-02-09 14:00:00+00:00,1 days 17:00:00,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8231857142857084e-06,4.407364285714271e-06
0.80577593,9734,9740,48519.6,47935.74,47935.74,,-509.3210301357849,38.8606956459831,-0.01302747075408703,2024-02-11 04:00:00+00:00,2024-02-11 10:00:00+00:00,0 days 06:00:00,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.05796428571428e-06,2.784799999999992e-06
0.78342903,9755,9756,48604.01,48037.961428571434,48037.961428571434,,-481.3149462139557,37.856062966786716,-0.012640305957118611,2024-02-12 01:00:00+00:00,2024-02-12 02:00:00+00:00,0 days 01:00:00,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8139357142857174e-06,3.041378571428579e-06
0.74353525,9770,9792,49917.80000000001,49528.05,49175.332857142865,,-326.7636111581104,36.970747470606256,-0.008803932164478522,2024-02-12 16:00:00+00:00,2024-02-13 14:00:00+00:00,0 days 22:00:00,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.74608571428571e-06,3.629449999999989e-06
0.71835855,9811,9841,50758.0,51831.99035,51831.99035,,734.6619521838246,36.848198356169995,0.020148456496020452,2024-02-14 09:00:00+00:00,2024-02-15 15:00:00+00:00,1 days 06:00:00,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.993599999999998e-06,4.11878571428573e-06
0.71784505,9960,9960,52840.14,52224.52285714285,52224.52285714285,,-479.627792776102,37.71007408095943,-0.012644733232836134,2024-02-20 14:00:00+00:00,2024-02-20 14:00:00+00:00,0 days 00:00:00,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.6230214285714365e-06,3.6230214285714365e-06
0.69248094,10107,10130,53391.01,56255.605650000005,56255.605650000005,,1945.713792695351,37.964095736565355,0.05262631934055957,2024-02-26 17:00:00+00:00,2024-02-27 16:00:00+00:00,0 days 23:00:00,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6098857142857034e-06,6.2194714285714275e-06
0.7015964100000001,10146,10155,58241.09,61475.82985000001,61475.82985000001,,2227.4853854524363,41.99648059150887,0.054512739889913016,2024-02-28 08:00:00+00:00,2024-02-28 17:00:00+00:00,0 days 09:00:00,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.7493999999999845e-06,1.164670714285715e-05
0.6945698,10267,10286,65241.08,67478.4494,67478.4494,,1507.9177281883904,46.09148849572607,0.03327672741315732,2024-03-04 09:00:00+00:00,2024-03-05 04:00:00+00:00,0 days 19:00:00,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.945414285714258e-06,9.123285714285722e-06
0.70336958,10297,10297,68710.41,66643.75571428573,66643.75571428573,,-1501.2237582929092,47.602001344853775,-0.031062707507805976,2024-03-05 15:00:00+00:00,2024-03-05 15:00:00+00:00,0 days 00:00:00,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.1707771428571397e-05,1.1707771428571397e-05
0.63824094,10434,10454,71019.99,71619.0,69630.20714285717,,336.7936839402692,45.519021529125304,0.007430168675044744,2024-03-11 08:00:00+00:00,2024-03-12 04:00:00+00:00,0 days 20:00:00,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.200678571428529e-06,5.555657142857174e-06
0.62643238,10483,10487,73433.49,72434.05285714286,72434.05285714286,,-671.7678640787826,45.68807601837601,-0.014603294958277526,2024-03-13 09:00:00+00:00,2024-03-13 13:00:00+00:00,0 days 04:00:00,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.017657142857168e-06,5.359278571428586e-06
-0.68388689,10570,10580,65300.64000000001,66960.24714285714,66960.24714285714,,-1180.2093109387406,45.225743388384785,-0.026427575387141303,2024-03-17 00:00:00+00:00,2024-03-17 10:00:00+00:00,0 days 10:00:00,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,8.65785000000001e-06,9.536250000000016e-06
-0.66650782,10627,10635,63463.64,65303.487142857135,65303.487142857135,,-1269.184656918765,42.91214859982426,-0.03000506599414358,2024-03-19 09:00:00+00:00,2024-03-19 17:00:00+00:00,0 days 08:00:00,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.662185714285701e-06,1.1240842857142862e-05
0.5731265,10777,10799,69377.2,70075.09654999999,70075.09654999999,,360.02110374424194,39.96190331933178,0.009054421362133414,2024-03-25 15:00:00+00:00,2024-03-26 13:00:00+00:00,0 days 22:00:00,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.435571428571455e-06,5.331807142857129e-06
0.57259367,11106,11124,70698.64,71275.45,69796.54000000001,,289.63102217369465,40.64673261900515,0.007154634869921218,2024-04-08 08:00:00+00:00,2024-04-09 02:00:00+00:00,0 days 18:00:00,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.136257142857139e-06,4.57182857142861e-06
